doc_id,topic_index,score
201,3,0.549975
202,0,0.849948
203,7,0.887469
204,0,0.592321
205,1,0.484824
206,5,0.899973
207,1,0.774949
208,0,0.947048
209,8,0.602529
210,7,0.819968
211,2,0.528208
212,8,0.774962
213,0,0.554928
214,4,0.699909
215,3,0.699921
216,2,0.699936
217,6,0.819957
218,9,0.774949
219,7,0.549925
220,7,0.849958
221,9,0.699941
222,0,0.1
223,3,0.699956
224,8,0.719209
225,8,0.587768
226,4,0.774935
227,6,0.60837
228,6,0.699939
229,3,0.470722
230,1,0.69994
231,6,0.774947
232,1,0.58988
233,4,0.729826
234,4,0.555468
235,6,0.930751
236,4,0.849976
237,4,0.769069
238,6,0.69993
239,9,0.387484
240,1,0.512424
241,7,0.42861
242,9,0.967849
243,4,0.871393
244,0,0.1
245,8,0.699969
246,8,0.496357
247,1,0.947043
248,1,0.909983
249,1,0.699945
250,7,0.947042
251,4,0.849953
252,4,0.549899
253,9,0.849951
254,2,0.819941
255,5,0.534576
256,7,0.549977
257,9,0.849959
258,3,0.580581
259,5,0.699934
260,7,0.619399
261,5,0.364092
262,3,0.699962
263,1,0.754512
264,6,0.521315
265,3,0.771348
266,3,0.699917
267,8,0.6029
268,7,0.871403
269,0,0.1
270,3,0.819958
271,6,0.774949
272,3,0.819966
273,3,0.549966
274,0,0.489768
275,6,0.468943
276,0,0.1
277,7,0.699959
278,5,0.849966
279,7,0.544348
280,7,0.699962
281,8,0.871398
282,4,0.549966
283,0,0.971869
284,2,0.699951
285,9,0.549943
286,6,0.469848
287,6,0.603289
288,3,0.819958
289,1,0.819958
290,3,0.54999
291,4,0.549965
292,4,0.51102
293,1,0.930753
294,3,0.713478
295,1,0.864831
296,3,0.924973
297,6,0.506886
298,1,0.819955
299,1,0.930751
300,8,0.545163
301,8,0.90998
302,5,0.643592
303,2,0.88747
304,7,0.849966
305,5,0.774978
306,4,0.735717
307,1,0.549988
308,3,0.699917
309,0,0.1
310,0,0.774937
311,2,0.774972
312,8,0.54989
313,6,0.549959
314,4,0.67156
315,9,0.88748
316,0,0.1
317,6,0.549955
318,2,0.871394
319,2,0.871406
320,3,0.717009
321,0,0.1
322,8,0.924976
323,2,0.774946
324,0,0.549985
325,8,0.361634
326,1,0.9357
327,6,0.709479
328,1,0.526134
329,8,0.774942
330,0,0.580027
331,0,0.1
332,6,0.69991
333,4,0.509324
334,6,0.524507
335,5,0.887469
336,3,0.957132
337,3,0.909972
338,3,0.524562
339,3,0.699979
340,7,0.422173
341,3,0.943739
342,9,0.899963
343,3,0.88747
344,3,0.781046
345,5,0.377499
346,0,0.1
347,0,0.1
348,0,0.1
349,8,0.536457
350,0,0.1
351,5,0.849968
352,5,0.353625
353,7,0.480363
354,9,0.597515
355,4,0.516413
356,9,0.819962
357,3,0.421134
358,5,0.55199
359,8,0.553109
360,0,0.770248
361,8,0.667624
362,0,0.549884
363,4,0.849965
364,2,0.712218
365,7,0.58496
366,0,0.975669
367,0,0.710325
368,6,0.849962
369,0,0.488939
370,2,0.549993
371,0,0.871395
372,6,0.577286
373,6,0.699899
374,0,0.84997
375,0,0.522689
376,0,0.1
377,6,0.69992
378,3,0.40805
379,3,0.701356
380,1,0.924978
381,6,0.577229
382,6,0.549937
383,9,0.480876
384,1,0.849965
385,6,0.549937
386,1,0.97954
387,7,0.930754
388,0,0.819947
389,1,0.81996
390,7,0.598603
391,4,0.674783
392,0,0.621029
393,7,0.545686
394,8,0.549948
395,6,0.774919
396,1,0.899969
397,2,0.899978
398,9,0.947044
399,7,0.699918
400,8,0.69988
401,0,0.1
402,5,0.54997
403,8,0.872811
404,0,0.549986
405,7,0.580864
406,9,0.514974
407,0,0.581976
408,4,0.909972
409,8,0.924975
410,0,0.549979
411,7,0.918161
412,3,0.699962
413,3,0.699968
414,8,0.770135
415,2,0.899973
416,1,0.796812
417,2,0.774931
418,4,0.461457
419,7,0.819966
420,1,0.500822
421,4,0.81994
422,7,0.70643
423,4,0.518212
424,4,0.774962
425,7,0.562764
426,6,0.909976
427,1,0.506545
428,5,0.93075
429,5,0.871399
430,8,0.819953
431,7,0.699965
432,8,0.699938
433,0,0.774956
434,3,0.849954
435,7,0.453489
436,4,0.580602
437,9,0.696177
438,8,0.930753
439,5,0.479225
440,2,0.596951
441,2,0.849965
442,9,0.918156
443,8,0.909973
444,6,0.887475
445,6,0.661565
446,0,0.1
447,7,0.425351
448,5,0.47507
449,2,0.426384
450,8,0.871384
451,9,0.348736
452,4,0.538596
453,2,0.9357
454,2,0.960859
455,2,0.531181
456,8,0.313076
457,1,0.849975
458,4,0.84997
459,8,0.549926
460,5,0.584036
461,8,0.939979
462,0,0.1
463,8,0.819972
464,8,0.849977
465,3,0.774945
466,1,0.549952
467,3,0.503001
468,1,0.449879
469,4,0.526223
470,8,0.539302
471,0,0.1
472,9,0.887478
473,6,0.353779
474,9,0.433481
475,8,0.819978
476,1,0.949988
477,7,0.962489
478,3,0.819937
479,1,0.972718
480,6,0.549873
481,3,0.549976
482,4,0.612413
483,4,0.939983
484,3,0.918153
485,0,0.699953
486,2,0.648402
487,2,0.935698
488,7,0.456874
489,6,0.578483
490,8,0.819977
491,7,0.509452
492,3,0.84997
